iter	Passed	Remaining
413	3416	4836
414	3423	4826
415	3431	4816
416	3440	4809
417	3447	4799
418	3454	4789
419	3461	4779
420	3467	4769
421	3475	4760
422	3487	4757
423	3498	4752
424	3508	4746
425	3517	4740
426	3524	4730
427	3532	4720
428	3538	4710
429	3545	4699
430	3552	4689
431	3558	4679
432	3565	4668
433	3572	4658
434	3578	4648
435	3585	4637
436	3591	4627
437	3598	4617
438	3606	4608
439	3615	4601
440	3625	4594
441	3632	4586
442	3640	4576
443	3647	4567
444	3654	4558
445	3662	4549
446	3669	4539
447	3676	4529
448	3683	4520
449	3690	4510
450	3696	4500
451	3704	4490
452	3711	4482
453	3718	4472
454	3725	4462
455	3732	4453
456	3739	4443
457	3746	4433
458	3752	4423
459	3759	4413
460	3766	4403
461	3772	4393
462	3779	4383
463	3790	4378
464	3796	4368
465	3803	4358
466	3810	4349
467	3818	4340
468	3825	4330
469	3833	4322
470	3841	4314
471	3854	4312
472	3865	4306
473	3876	4301
474	3884	4293
475	3892	4284
476	3899	4275
477	3906	4265
478	3913	4256
479	3920	4246
480	3926	4236
481	3933	4227
482	3940	4218
483	3948	4209
484	3956	4201
485	3963	4192
486	3973	4185
487	3982	4177
488	3990	4170
489	3997	4160
490	4004	4151
491	4011	4141
492	4018	4132
493	4025	4123
494	4032	4114
495	4040	4105
496	4047	4096
497	4054	4087
498	4061	4077
499	4069	4069
500	4076	4060
501	4083	4051
502	4090	4041
503	4097	4032
504	4104	4022
505	4111	4014
506	4119	4005
507	4128	3998
508	4136	3990
509	4145	3983
510	4154	3975
511	4160	3965
512	4167	3956
513	4174	3947
514	4181	3937
515	4190	3930
516	4198	3922
517	4207	3915
518	4214	3905
519	4222	3897
520	4229	3888
521	4236	3879
522	4242	3869
523	4250	3860
524	4257	3852
525	4264	3843
526	4272	3834
527	4280	3826
528	4288	3818
529	4295	3809
530	4302	3800
531	4309	3790
532	4316	3782
533	4325	3774
534	4334	3767
535	4343	3759
