iter	Logloss
0	0.6818211564
1	0.6717546632
2	0.6600844272
3	0.6501868373
4	0.6397710699
5	0.6286811397
6	0.6177324036
7	0.6082209906
8	0.5979126259
9	0.5879043547
10	0.578249185
11	0.5692446697
12	0.5599297875
13	0.5500282656
14	0.5406211896
15	0.5325279771
16	0.5243751778
17	0.5160636962
18	0.5078267853
19	0.5004242579
20	0.4914145405
21	0.4845333752
22	0.4775065187
23	0.470777228
24	0.4631671528
25	0.454836205
26	0.4477237336
27	0.4402503141
28	0.4333775521
29	0.4260135538
30	0.4202415503
31	0.414409665
32	0.4085897798
33	0.4035155704
34	0.3975086941
35	0.3919856868
36	0.3856404931
37	0.3809487352
38	0.3754542958
39	0.3696909912
40	0.3654207766
41	0.3613930397
42	0.3564001331
43	0.3517492485
44	0.34648048
45	0.342427903
46	0.3374101893
47	0.3331965219
48	0.3285352256
49	0.3231088561
50	0.3192716933
51	0.3161101095
52	0.3113625789
53	0.3078905311
54	0.3036936462
55	0.300356689
56	0.2966913037
57	0.2929465657
58	0.2891056373
59	0.2854452073
60	0.2818689815
61	0.2786401779
62	0.2755573203
63	0.2726494227
64	0.2700313959
65	0.2669463797
66	0.2638269606
67	0.2606994966
68	0.2575338252
69	0.254685186
70	0.252249571
71	0.249399229
72	0.2468965637
73	0.243964856
74	0.2420798779
75	0.239139246
76	0.2365148671
77	0.2342447652
78	0.2313306094
79	0.2288638449
80	0.2264843216
81	0.2239442976
82	0.2218138266
83	0.2198209789
84	0.2174903661
85	0.2154001158
86	0.2133510032
87	0.2112784144
88	0.2087298592
89	0.2061703813
90	0.2034796878
91	0.2014713313
92	0.200105132
93	0.197806941
94	0.1964810841
95	0.1944612755
96	0.1925931153
97	0.1906901278
98	0.1888234482
99	0.1869302773
100	0.184807752
101	0.1829724156
102	0.1810697761
103	0.1794320829
104	0.1780662406
105	0.1765300013
106	0.1750468425
107	0.1737456851
108	0.1718817635
109	0.1699143216
110	0.1686760603
111	0.1675079223
112	0.1659594157
113	0.1649871119
114	0.1629242239
115	0.1613899557
116	0.159951317
117	0.158761848
118	0.1571807472
119	0.1560676219
120	0.1548402714
121	0.1537428922
122	0.1523421347
123	0.1508338489
124	0.1493977927
125	0.1481583051
126	0.1463959604
127	0.1451765896
128	0.1443209433
129	0.1433649911
130	0.1424686839
131	0.1414180911
132	0.1400520525
133	0.13886941
134	0.1375923129
135	0.1367770763
136	0.135746297
137	0.1346682832
138	0.1337219046
139	0.1327326502
140	0.1316208673
141	0.1307308329
142	0.1298058181
143	0.1287542893
144	0.1279265811
145	0.1269950101
146	0.1258949946
147	0.1247165248
148	0.1238239984
149	0.1231900648
150	0.1222980807
151	0.1213238028
152	0.1204046039
153	0.1198446144
154	0.1187884321
155	0.1176319037
156	0.1167549082
157	0.1161276297
158	0.1155921348
159	0.1146438086
160	0.1137481169
161	0.1130464534
162	0.1121488463
163	0.1110617927
164	0.1102208769
165	0.1094950192
166	0.1086329188
167	0.1077528043
168	0.1067960159
169	0.1063820707
170	0.1057997161
171	0.1051048111
172	0.1046203204
173	0.1038692873
174	0.1032669777
175	0.1026073597
176	0.1017912878
177	0.100986026
178	0.1003001922
179	0.09966636263
180	0.09899399805
181	0.09842095634
182	0.09790236803
183	0.09743196258
184	0.09689035994
185	0.09623422362
186	0.09556048451
187	0.09511059841
188	0.09454862679
189	0.093895355
